101,1101,1103
102,1103,1102,1013
103,1104,1001,1101
104,1102,1014,1104,1002
201,1201,1013,1203
202,1203,1202,1019
203,1204,1003,1201,1014
204,1202,1020,1204,1004
301,1301,1019,1303
302,1303,1302
303,1304,1005,1301,1020
304,1302,1304,1006
401,1401,1403,1001
402,1403,1002,1402,1015
403,1404,1007,1401
404,1402,1016,1404,1008
501,1501,1015,1503,1003
502,1503,1004,1502,1021
503,1504,1009,1501,1016
504,1502,1022,1504,1010
601,1601,1021,1603,1005
602,1603,1006,1602
603,1604,1011,1601,1022
604,1602,1604,1012
701,1701,1703,1007
702,1703,1008,1702,1017
703,1704,1701
704,1702,1018,1704
801,1801,1017,1803,1009
802,1803,1010,1802,1023
803,1804,1801,1018
804,1802,1024,1804
901,1901,1023,1903,1011
902,1903,1012,1902
903,1904,1901,1024
904,1902,1904
1101,103,101
1102,102,104
1103,101,102
1104,104,103
1201,203,201
1202,202,204
1203,201,202
1204,204,203
1301,303,301
1302,302,304
1303,301,302
1304,304,303
1401,403,401
1402,402,404
1403,401,402
1404,404,403
1501,503,501
1502,502,504
1503,501,502
1504,504,503
1601,603,601
1602,602,604
1603,601,602
1604,604,603
1701,703,701
1702,702,704
1703,701,702
1704,704,703
1801,803,801
1802,802,804
1803,801,802
1804,804,803
1901,903,901
1902,902,904
1903,901,902
1904,904,903
1001,401,103
1002,104,402
1003,501,203
1004,204,502
1005,601,303
1006,304,602
1007,701,403
1008,404,702
1009,801,503
1010,504,802
1011,901,603
1012,604,902
1013,102,201
1014,203,104
1015,402,501
1016,503,404
1017,702,801
1018,803,704
1019,202,301
1020,303,204
1021,502,601
1022,603,504
1023,802,901
1024,903,804
